cod_bna,nombre,tipo_estacion,vigencia,region,comuna,cuenca,altitud,latitud,longitud
05410016-7,Tierras Blancas,Control de Nivel,Suspendidas,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,643,-32.77383488,-70.7200853
05410017-5,Fundo Las Mercedes,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Calle Larga,Rio Aconcagua,764,-32.84634701,-70.64294187
05410018-3,Fundo La Quimera,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,737,-32.80413914,-70.68087768
05410019-1,Fundo Los Pinos,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Santa María,Rio Aconcagua,721,-32.78070632,-70.66409096
05410020-5,Fundo Los Castaños,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,678,-32.76236364,-70.69553787
05410021-3,Fundo Los Maitenes,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Rinconada,Rio Aconcagua,723,-32.83996231,-70.67754628
05410022-1,Rio Aconcagua En Las Tinajas,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Panquehue,Rio Aconcagua,0,-32.73885374,-70.76073256
05410023-K,Pozo Martinez,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,670,-32.77690421,-70.71461418
05410024-8,Rio Aconcagua En San Felipe 2,Fluviométricas,Vigentes,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,650,-32.75694798,-70.73666751
05411001-4,Estero Pocuro En El Sifon,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Calle Larga,Rio Aconcagua,1000,-32.92059727,-70.54345129
05411002-2,Estero Pocuro Antes Junta Rio Aconcagua,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,830,-32.76698955,-70.72728721
05411003-0,Estero Pocuro En Asentamiento Cristo Redentor,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Calle Larga,Rio Aconcagua,800,-32.88717902,-70.58543749
05411004-9,Apr El Pimiento,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Calle Larga,Rio Aconcagua,0,-32.87966622,-70.58898058
05413001-5,Estero Chalaco En Los Patos (Ca),Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Putaendo,Rio Aconcagua,1190,-32.48718011,-70.56876249
05413002-3,Embalse Chacrillas (Lm),Lagos y Embalses,Vigentes,Región de Valparaíso,Comuna de Putaendo,Rio Aconcagua,0,-32.50416834,-70.55388976
05414001-0,Rio Putaendo En Resguardo Los Patos,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Putaendo,Rio Aconcagua,1218,-32.50158388,-70.58106119
05414002-9,Rio Putaendo En Putaendo (Ca),Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Putaendo,Rio Aconcagua,800,-32.62051004,-70.71876614
05414003-7,Rio Putaendo En El Baden (Ca),Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Putaendo,Rio Aconcagua,810,-32.59481184,-70.71630419
05414004-5,Resguardo Los Patos,Meteorológicas,Vigentes,Región de Valparaíso,Comuna de Putaendo,Rio Aconcagua,1220,-32.50149456,-70.58170888
05414005-3,El Tartaro,Meteorológicas,Vigentes,Región de Valparaíso,Comuna de Putaendo,Rio Aconcagua,950,-32.56846931,-70.69884542
05414007-K,El Asiento,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,669,-32.73550971,-70.73211114
05414008-8,Perfil Putaendo (1),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,677,-32.69113022,-70.75070774
05414009-6,Perfil Putaendo (2),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,674,-32.69690364,-70.74932717
05414010-K,Apr Quebrada De Herrera,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Putaendo,Rio Aconcagua,0,-32.64818952,-70.74039302
05415001-6,Estero Quilpue Antes Junta Rio Aconcagua,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,530,-32.73301469,-70.74876257
