cod_estacion,institucion,nombre,comuna,region,latitud,longitud
471,INIA,5 de enero,San Gregorio,Magallanes,-52.432478000000003,-70.360583000000005
479,INIA,Altos la Portada,Antofagasta,Antofagasta,-23.504097699999999,-70.404666300000002
483,INIA,Puente Negro,Pichilemu,O'Higgins,-34.386350999999998,-71.985709999999997
487,INIA,Camar,San Pedro de Atacama,Antofagasta,-23.407101999999998,-67.963735
491,INIA,San Jorge Los Niches,Curicó,Maule,-35.091799999999999,-71.120579000000006
495,INIA,Lien,Curepto,Maule,-35.099145999999998,-71.969797
499,INIA,Colliguay,Quilpué,Valparaíso,-33.168608900000002,-71.155717100000004
503,INIA,Lomas,Pelluhue,Maule,-35.835449099999998,-72.587489000000005
507,INIA,Puraligue,Treguaco,Biobío,-36.431035999999999,-72.647783000000004
511,INIA,El Asiento,Alhué,Metropolitana,-34.029282000000002,-70.995097999999999
519,INIA,San Rafael,Los Sauces,Araucanía,-38.070667,-72.724176
523,INIA,La Paz,Loncoche,Araucanía,-39.428134999999997,-72.718520999999996
527,INIA,Carelmapu,Maullín,Los Lagos,-41.709733,-73.672262500000002
531,INIA,Gaby-Ranquilco,Lumaco,Araucanía,-38.116919000000003,-72.883497000000006
539,INIA,San Enrique,Pucón,Araucanía,-39.261710999999998,-71.868097000000006
543,INIA,Cuya,Camarones,Arica y Parinacota,-19.161922000000001,-70.180967999999993
547,INIA,Los Arrayanes,Toltén,Araucanía,-39.165407999999999,-73.132936000000001
551,INIA,Pica,Pica,Tarapacá,-20.501476,-69.342572000000004
555,INIA,Huacamapu,San Juan de la Costa,Los Lagos,-40.659174999999998,-73.491722999999993
559,INIA,Cuncumén,San Antonio,Valparaíso,-33.736215000000001,-71.421578999999994
567,INIA,Huentelauquen,Canela,Coquimbo,-31.5885,-71.509833
582,INIA,La Copa,Caldera,Atacama,-27.345438999999999,-70.622009000000006
587,METEOVID,Siegel,San Fernando,O'Higgins,-34.525449999999999,-70.88758
592,METEOVID,Via Wines,Curicó,Maule,-35.0904667,-71.177367000000004
597,METEOVID,Laberinto,Colbún,Maule,-35.699300000000001,-71.268699999999995
602,METEOVID,Sierras de Bellavista,San Fernando,O'Higgins,-34.815582999999997,-70.751067000000006
608,FDF,Iglesia Colorada,Tierra Amarilla,Atacama,-28.148944400000001,-69.891833329999997
612,FDF,Freirina,Freirina,Atacama,-28.506638899999999,-71.103722219999995
616,FDF,El Trapiche,La Higuera,Coquimbo,-29.3718611,-71.116083329999995
617,INIA,Faja Maisan,Pitrufquén,Araucanía,-39.071148000000001,-72.921980000000005
619,INIA,La Cachina,Taltal,Antofagasta,-25.433986999999998,-70.453243000000001
621,INIA,Bajada Ibañez,Río Ibáñez,Aysén,-46.180619,-72.043261000000001
623,FDF,Los Espinos,Los Andes,Valparaíso,-32.890166700000002,-70.382138800000007
625,METEOVID,Concha y Toro - Pencahue,Pencahue,Maule,-35.445219999999999,-71.834360000000004
626,INIA,Arroyo el Gato,Coyhaique,Aysén,-45.162902000000003,-71.943627000000006
628,INIA,Miraflores,Longaví,Maule,-35.818050999999997,-71.775019
630,INIA,Liceo Jean Buchanan,Peumo,O'Higgins,-34.397289200000003,-71.164671900000002
632,INIA,Chaguaral,Monte Patria,Coquimbo,-30.857084,-70.730688999999998
634,INIA,Pid-Pid,Castro,Los Lagos,-42.411746999999998,-73.783912999999998
636,INIA,Quilquico,Castro,Los Lagos,-42.491512,-73.708816999999996
638,INIA,Isla Chelin,Castro,Los Lagos,-42.589153000000003,-73.532905999999997
640,INIA,Radal,Freire,Araucanía,-38.985469999999999,-72.381617000000006
642,INIA,San Sebastián,Perquenco,Araucanía,-38.435063999999997,-72.399023999999997
644,INIA,Taplon,Padre Las Casas,Araucanía,-38.832949999999997,-72.506384999999995
646,INIA,El Vergel,Angol,Araucanía,-37.827809799999997,-72.659664899999996
648,INIA,Pailahueque,Ercilla,Araucanía,-38.145552000000002,-72.659664899999996
650,METEOVID,Viu Manent – Santa Cruz,Santa Cruz,O'Higgins,-34.646111111000003,-71.313611111
651,METEOVID,Viu Manent – Peralillo,Peralillo,O'Higgins,-34.495833333,-71.491666666
653,INIA,Licanchen,Navidad,O'Higgins,-33.929748500000002,-71.801002499999996
655,INIA,Pampa Concordia,Arica,Arica y Parinacota,-18.362922000000001,-70.302032999999994
658,INIA,Chapiquiña,Putre,Arica y Parinacota,-18.389472000000001,-69.539417
661,INIA,Ajial de Quiles,Punitaqui,Coquimbo,-30.920303000000001,-71.384100000000004
664,INIA,La Polvareda,Punitaqui,Coquimbo,-30.882719000000002,-71.239735999999994
667,INIA,Rayentué,Rengo,O'Higgins,-34.321703999999997,-70.833900999999997
670,INIA,Las Puentes,Arauco,Biobío,-37.305126000000001,-73.436712
673,INIA,Santa Lucía,Florida,Biobío,-36.69746,-72.704216000000002
676,INIA,Collimallin,Temuco,Araucanía,-38.606698000000002,-72.701057000000006
679,INIA,Tenaún,Dalcahue,Los Lagos,-42.312674999999999,-73.399901999999997
682,INIA,Ñirehuao,Coyhaique,Aysén,-45.249744,-71.694249999999997
685,INIA,Puerto Ibañez,Río Ibáñez,Aysén,-46.278309,-71.941433000000004
688,INIA,El Oasis,Lampa,Metropolitana,-33.286268,-70.836060000000003
691,METEOVID,Luis Felipe Edwards-Pumanque,Pumanque,O'Higgins,-34.640892999999998,-71.776318000000003
694,METEOVID,Luis Felipe Edwards-Las Rosas,Retiro,Maule,-35.889749000000002,-71.856565000000003
696,FDF,Curicó,Curicó,Maule,-34.940973,-71.222752
